Designator,Mid X,Mid Y,Rotation,Layer
D1,71.4375,-64.29375,270.0,bottom
D10,153.4795,-80.2005,270.0,bottom
D11,76.2,-102.39375,270.0,bottom
D12,95.25,-102.39375,270.0,bottom
D13,133.35,-102.39375,270.0,bottom
D14,152.4,-102.39375,270.0,bottom
D15,171.45,-102.39375,270.0,bottom
D2,88.10625,-64.29375,270.0,bottom
D3,111.91875,-64.29375,270.0,bottom
D4,128.5875,-64.29375,270.0,bottom
D5,147.6375,-64.29375,270.0,bottom
D6,85.725,-83.34375,270.0,bottom
D7,104.775,-83.34375,270.0,bottom
D8,123.825,-83.34375,270.0,bottom
D9,142.0495,-80.2005,270.0,bottom
LED1,148.717,-85.4075,0.0,bottom
LED2,148.9075,-89.8525,0.0,bottom
LED3,148.9075,-94.9325,0.0,bottom
